,price,miles,link
2019 Hyundai Kona,24990,16737,/vehicle/2089067
2018 Hyundai Elantra,18590,45156,/vehicle/2092294
2020 Kia Rio,17990,66754,/vehicle/2036446
2017 Hyundai Elantra GT,16990,77412,/vehicle/2089066
2017 Volkswagen Golf SportWagen,18990,79977,/vehicle/2092244
2014 Chevrolet Impala Limited,16590,67058,/vehicle/2065582
2012 Honda Civic,15990,78222,/vehicle/2133456
2016 Dodge Journey,22990,40449,/vehicle/2160401
2017 Volkswagen Jetta,17990,78841,/vehicle/2133466
2012 Chevrolet Malibu,15990,38237,/vehicle/2192398
2014 Chevrolet Malibu,17990,53646,/vehicle/2089262
2016 Honda HR-V,19990,68722,/vehicle/1994358
2020 Mitsubishi Mirage G4,17590,13119,/vehicle/2065546
2015 Kia Sportage,24990,15105,/vehicle/2130507
2015 Nissan Rogue,20990,51176,/vehicle/2160375
